Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,13.980000,14.100000,13.630000,13.700000,13.284323,199300
2022-02-24,13.590000,13.590000,13.150000,13.370000,12.964336,191600
2022-02-25,13.510000,13.860000,13.500000,13.830000,13.410379,142500
2022-02-28,13.620000,13.850000,13.570000,13.740000,13.323110,178300
2022-03-01,13.720000,13.900000,12.930000,12.960000,12.566776,220900
2022-03-02,13.040000,13.260000,12.830000,13.070000,12.673438,169700
2022-03-03,13.470000,13.770000,13.410000,13.740000,13.323110,204100
2022-03-04,13.540000,13.830000,13.460000,13.550000,13.138875,227900
2022-03-07,13.450000,13.640000,12.790000,12.830000,12.440720,353900
2022-03-08,12.910000,13.200000,12.700000,12.830000,12.440720,247500
2022-03-09,13.100000,13.310000,13.050000,13.100000,12.702529,203800
2022-03-10,12.850000,13.170000,12.780000,12.940000,12.547382,285400
2022-03-11,13.080000,13.160000,12.610000,12.640000,12.256485,205200
2022-03-14,12.650000,13.040000,12.420000,12.980000,12.586169,292900
2022-03-15,13.150000,13.190000,12.540000,12.620000,12.237092,244800
2022-03-16,12.690000,12.910000,12.640000,12.790000,12.401935,320200
2022-03-17,13.000000,13.180000,12.660000,13.060000,12.663742,299700
2022-03-18,13.010000,13.350000,12.460000,12.800000,12.411631,1526900
2022-03-21,13.080000,13.730000,12.890000,12.940000,12.547382,312400
2022-03-22,12.940000,13.130000,12.810000,12.830000,12.440720,233400
2022-03-23,12.730000,13.210000,12.630000,13.080000,12.683135,196300
2022-03-24,13.280000,13.380000,13.110000,13.310000,12.906157,201200
2022-03-25,13.340000,13.710000,13.270000,13.420000,13.012818,181300
2022-03-28,13.430000,13.500000,13.130000,13.390000,12.983729,230800
2022-03-29,13.500000,13.780000,13.140000,13.150000,12.751011,214300
2022-03-30,13.220000,13.220000,12.810000,12.820000,12.431024,198000
2022-03-31,12.680000,12.760000,12.330000,12.380000,12.136915,265600
2022-04-01,12.510000,12.720000,12.350000,12.620000,12.372202,244200
2022-04-04,12.340000,12.510000,12.180000,12.300000,12.058486,293400
2022-04-05,12.320000,12.430000,11.780000,11.800000,11.568303,230200
2022-04-06,11.720000,11.720000,11.380000,11.600000,11.372231,473900
2022-04-07,11.570000,11.670000,11.140000,11.420000,11.195765,255700
2022-04-08,11.550000,11.550000,10.990000,10.990000,10.774208,205300
2022-04-11,11.000000,11.490000,11.000000,11.170000,10.950673,331600
2022-04-12,11.300000,11.720000,11.200000,11.420000,11.195765,308300
2022-04-13,11.420000,11.790000,11.420000,11.680000,11.450660,221800
2022-04-14,11.710000,11.960000,11.690000,11.940000,11.705554,321600
2022-04-18,11.980000,12.340000,11.840000,12.090000,11.852609,457500
2022-04-19,12.110000,12.500000,12.050000,12.280000,12.038878,341500
2022-04-20,12.430000,12.660000,12.390000,12.440000,12.195736,235800
2022-04-21,12.480000,12.800000,12.460000,12.530000,12.283969,250200
2022-04-22,12.530000,12.530000,12.020000,12.060000,11.823198,216500
2022-04-25,12.020000,12.110000,11.610000,11.680000,11.450660,194500
2022-04-26,11.550000,11.610000,11.220000,11.250000,11.029102,172100
2022-04-27,11.320000,11.410000,11.090000,11.220000,10.999692,240200
2022-04-28,11.380000,11.490000,11.140000,11.400000,11.176157,171400
2022-04-29,11.320000,11.340000,10.940000,11.000000,10.784012,198200
2022-05-02,11.090000,11.190000,10.880000,11.110000,10.891851,272200
2022-05-03,11.140000,11.150000,8.940000,9.400000,9.215427,948100
2022-05-04,9.290000,9.490000,8.700000,9.380000,9.195821,652100
2022-05-05,9.340000,9.340000,8.720000,8.830000,8.656620,630100
2022-05-06,8.770000,9.230000,8.680000,8.860000,8.686030,418600
2022-05-09,8.740000,8.790000,7.970000,8.160000,7.999775,726100
2022-05-10,8.180000,8.190000,7.590000,7.630000,7.480183,719600
2022-05-11,7.710000,8.060000,7.650000,7.870000,7.715470,515400
2022-05-12,7.810000,8.140000,7.630000,7.890000,7.735077,400900
2022-05-13,7.970000,8.450000,7.600000,8.340000,8.176242,614000
2022-05-16,8.280000,8.280000,7.740000,7.790000,7.637041,261700
2022-05-17,7.920000,8.100000,7.820000,8.020000,7.862525,246400
2022-05-18,7.980000,8.080000,7.700000,7.840000,7.686059,427500
2022-05-19,7.710000,8.020000,7.450000,7.970000,7.813506,564000
2022-05-20,8.110000,8.280000,7.720000,7.810000,7.656648,349900
2022-05-23,7.920000,8.220000,7.530000,8.080000,7.921347,675900
2022-05-24,8.060000,8.410000,7.920000,8.320000,8.156633,416600
2022-05-25,8.310000,8.680000,8.240000,8.640000,8.470351,324200
2022-05-26,8.640000,8.850000,8.440000,8.450000,8.284081,465400
2022-05-27,8.570000,8.730000,8.530000,8.670000,8.499762,177400
2022-05-31,8.700000,8.760000,8.360000,8.620000,8.450744,730800
2022-06-01,8.580000,8.880000,8.320000,8.450000,8.284081,265100
2022-06-02,8.530000,8.680000,8.320000,8.680000,8.509565,231700
2022-06-03,8.630000,8.630000,8.200000,8.220000,8.058598,194500
2022-06-06,8.420000,8.620000,8.240000,8.610000,8.440940,314500
2022-06-07,8.500000,8.680000,8.330000,8.580000,8.411529,294600
2022-06-08,8.530000,8.570000,8.310000,8.350000,8.186046,210500
2022-06-09,8.250000,8.360000,8.080000,8.120000,7.960561,232500
2022-06-10,7.970000,8.000000,7.740000,7.970000,7.813506,221900
2022-06-13,7.760000,7.760000,7.190000,7.340000,7.195877,487900
2022-06-14,7.290000,7.390000,6.990000,7.000000,6.862553,327400
2022-06-15,7.120000,7.280000,6.860000,7.150000,7.009608,568100
2022-06-16,6.960000,6.990000,6.570000,6.670000,6.539032,565800
2022-06-17,6.760000,6.970000,6.680000,6.800000,6.666480,585700
2022-06-21,6.990000,7.230000,6.780000,7.130000,6.990000,616300
2022-06-22,7.070000,7.300000,7.050000,7.150000,7.009608,456700
2022-06-23,7.200000,7.360000,7.080000,7.280000,7.137055,215900
2022-06-24,7.390000,7.540000,7.300000,7.320000,7.176270,568500
2022-06-27,7.390000,7.510000,7.310000,7.340000,7.195877,309100
2022-06-28,7.450000,7.490000,6.940000,6.950000,6.813534,272000
2022-06-29,6.920000,7.130000,6.740000,7.130000,6.990000,366000
2022-06-30,6.830000,6.970000,6.640000,6.880000,6.880000,276300
2022-07-01,6.880000,7.260000,6.880000,7.230000,7.230000,376200
2022-07-05,7.030000,7.130000,6.790000,7.050000,7.050000,281600
2022-07-06,7.090000,7.090000,6.540000,6.670000,6.670000,296200
2022-07-07,6.740000,6.800000,6.560000,6.600000,6.600000,370800
2022-07-08,6.610000,6.690000,6.400000,6.500000,6.500000,246000
2022-07-11,6.500000,6.610000,6.380000,6.500000,6.500000,334600
2022-07-12,6.520000,6.780000,6.520000,6.550000,6.550000,282000
2022-07-13,6.500000,6.500000,6.250000,6.400000,6.400000,208400
